UPM,VIV_SEL,P1_1,P1_2,P1_3,P1_4,P1_5_1,P1_5_2,P1_5_3,P2_1,P2_2,P2_3,FAC_VIV,UPM_DIS,EST_DIS,DOMINIO,TLOC,ESTRATO
0100061,01,2,1,1,1,1,2,2,2,1,,885,00001,003,U,1,2
0100061,02,3,1,1,1,1,1,2,3,2,2,885,00001,003,U,1,2
0100061,05,3,1,1,1,1,1,1,2,1,,885,00001,003,U,1,2
0100061,04,3,1,1,1,1,1,2,4,1,,885,00001,003,U,1,2
0100061,03,2,1,1,1,2,2,2,1,1,,885,00001,003,U,1,2
0100069,02,3,1,1,1,1,1,2,2,1,,967,00002,003,U,1,2
0100069,03,2,1,1,1,1,1,1,4,1,,967,00002,003,U,1,2
0100069,04,3,1,1,1,1,1,1,5,2,2,967,00002,003,U,1,2
0100069,05,3,1,1,1,1,1,1,2,1,,967,00002,003,U,1,2
0100069,01,2,1,1,1,1,1,1,3,1,,967,00002,003,U,1,2
0100080,05,3,1,1,1,1,1,2,7,1,,1171,00003,004,U,1,3
0100080,01,3,1,1,1,1,1,1,3,1,,1171,00003,004,U,1,3
0100080,02,3,1,1,1,2,2,2,1,1,,1171,00003,004,U,1,3
0100080,03,1,1,1,1,1,1,1,4,1,,1171,00003,004,U,1,3
0100186,04,2,1,1,1,1,1,2,3,1,,1245,00004,004,U,1,3
0100186,05,2,1,1,1,1,1,2,5,2,2,1245,00004,004,U,1,3
0100186,02,3,1,1,1,1,1,2,6,1,,1245,00004,004,U,1,3
0100186,01,3,1,1,1,1,2,2,3,1,,1245,00004,004,U,1,3
0100218,03,2,1,1,1,1,1,2,1,1,,821,00005,003,U,1,2
0100218,05,2,1,5,1,2,2,2,5,1,,821,00005,003,U,1,2
0100218,01,3,1,1,1,1,2,1,2,1,,821,00005,003,U,1,2
0100266,02,2,1,1,1,1,1,1,5,1,,789,00006,004,U,1,3
0100266,05,3,1,1,1,1,1,1,4,1,,789,00006,004,U,1,3
0100266,01,2,1,1,1,1,1,2,3,1,,789,00006,004,U,1,3
0100315,04,3,1,1,1,1,1,1,3,1,,1196,00007,004,U,1,3
0100315,01,2,1,1,1,1,1,1,4,1,,1196,00007,004,U,1,3
0100315,05,3,1,1,1,1,1,1,4,1,,1196,00007,004,U,1,3
0100315,02,3,1,1,1,1,1,2,2,1,,1196,00007,004,U,1,3
0100315,03,3,1,1,1,1,2,1,3,1,,1196,00007,004,U,1,3
0100374,03,3,1,1,1,1,1,1,3,1,,505,00008,005,U,1,4
0100374,01,3,1,1,1,1,1,2,1,1,,505,00008,005,U,1,4
0100374,05,3,1,1,1,1,2,1,4,2,3,505,00008,005,U,1,4
0100374,04,3,1,1,1,1,1,1,2,1,,505,00008,005,U,1,4
0100374,02,3,1,1,1,1,1,1,5,1,,505,00008,005,U,1,4
0100398,05,3,1,1,1,1,1,1,3,1,,832,00009,003,U,1,2
0100398,04,2,1,1,1,1,1,1,5,1,,832,00009,003,U,1,2
0100398,03,2,1,1,1,1,1,2,4,1,,832,00009,003,U,1,2
0100398,02,3,1,1,1,1,1,1,4,1,,832,00009,003,U,1,2
0100456,05,2,1,1,1,1,1,2,2,1,,1065,00010,004,U,1,3
0100456,03,3,1,1,1,1,1,1,5,1,,1065,00010,004,U,1,3
0100456,01,3,1,1,1,1,1,1,3,1,,1065,00010,004,U,1,3
0100456,02,3,1,1,1,1,1,1,3,1,,1065,00010,004,U,1,3
0100456,04,3,1,1,1,1,1,2,4,1,,1065,00010,004,U,1,3
0100498,03,3,1,1,1,1,1,1,3,1,,461,00011,005,U,1,4
0100498,01,3,1,1,1,1,1,1,3,1,,461,00011,005,U,1,4
0100498,04,3,1,1,1,1,1,1,4,1,,461,00011,005,U,1,4
0100498,05,3,1,1,1,1,1,1,4,1,,461,00011,005,U,1,4
0100540,05,3,1,1,1,1,1,2,4,1,,1194,00012,004,U,1,3
0100540,02,2,1,1,1,1,1,1,6,1,,1194,00012,004,U,1,3
0100540,01,2,1,1,1,1,1,1,3,1,,1194,00012,004,U,1,3
0100540,03,3,1,1,1,1,2,2,4,1,,1194,00012,004,U,1,3
0100540,04,2,1,1,1,1,1,1,4,1,,1194,00012,004,U,1,3
0100558,03,3,1,1,1,1,2,2,3,1,,1263,00013,004,U,1,3
0100558,01,3,1,1,1,2,1,2,3,1,,1263,00013,004,U,1,3
0100558,05,3,1,1,1,1,1,2,1,1,,1263,00013,004,U,1,3
0100558,02,3,1,1,1,1,1,2,1,1,,1263,00013,004,U,1,3
0100592,03,3,1,1,1,1,1,2,3,1,,1350,00014,004,U,1,3
0100592,04,3,1,1,1,1,1,1,3,1,,1350,00014,004,U,1,3
0100592,01,3,1,1,1,1,1,1,4,1,,1350,00014,004,U,1,3
0100592,05,3,1,1,1,1,1,1,3,1,,1350,00014,004,U,1,3
0100592,02,3,1,1,1,1,1,1,1,1,,1350,00014,004,U,1,3
0100620,05,2,1,1,1,1,1,1,8,1,,457,00015,005,U,1,4
0100620,03,3,1,1,1,1,1,1,1,1,,457,00015,005,U,1,4
0100620,01,3,1,1,1,1,1,1,3,1,,457,00015,005,U,1,4
0100661,03,3,1,1,1,1,1,1,4,1,,497,00016,005,U,1,4
0100661,01,3,1,1,1,1,1,1,2,1,,497,00016,005,U,1,4
0100661,05,3,1,1,1,1,1,2,1,1,,497,00016,005,U,1,4
0100661,04,3,1,1,1,1,1,1,4,1,,497,00016,005,U,1,4
0100663,01,3,1,1,1,1,1,1,2,1,,460,00017,005,U,1,4
0100663,02,3,1,1,1,1,1,1,2,1,,460,00017,005,U,1,4
0100663,03,3,1,1,1,1,1,1,1,1,,460,00017,005,U,1,4
0100663,04,3,1,1,1,1,1,1,3,1,,460,00017,005,U,1,4
0100663,05,3,1,1,1,1,1,1,3,1,,460,00017,005,U,1,4
0100674,03,3,1,1,1,1,1,1,4,1,,444,00018,005,U,1,4
0100674,01,3,1,1,1,1,1,1,3,1,,444,00018,005,U,1,4
0100674,04,3,1,1,1,1,1,1,1,1,,444,00018,005,U,1,4
0100674,02,3,1,1,1,1,1,1,3,1,,444,00018,005,U,1,4
0100699,05,3,1,1,1,1,1,1,3,1,,1360,00019,004,U,1,3
0100699,02,3,1,1,1,1,1,1,3,1,,1360,00019,004,U,1,3
0100699,01,3,1,1,1,1,1,1,4,1,,1360,00019,004,U,1,3
0100699,03,3,1,1,1,1,1,2,1,1,,1360,00019,004,U,1,3
0100703,03,3,1,1,1,1,1,1,2,1,,1267,00020,004,U,1,3
0100703,01,3,1,1,1,1,1,2,2,1,,1267,00020,004,U,1,3
0100703,04,3,1,1,1,1,1,2,3,1,,1267,00020,004,U,1,3
0100703,05,3,1,1,1,1,1,1,3,1,,1267,00020,004,U,1,3
0100703,02,3,1,1,1,1,1,2,1,1,,1267,00020,004,U,1,3
0100736,05,2,1,1,1,1,1,2,2,1,,1230,00021,004,U,1,3
0100736,02,3,1,1,1,1,1,2,3,1,,1230,00021,004,U,1,3
0100736,04,3,1,1,1,1,1,1,10,1,,1230,00021,004,U,1,3
0100736,01,2,1,1,1,1,1,2,6,1,,1230,00021,004,U,1,3
0100743,03,1,5,1,2,2,2,2,1,1,,1009,00022,003,U,1,2
0100743,02,2,1,1,1,1,1,1,5,1,,1009,00022,003,U,1,2
0100743,04,2,1,1,1,1,1,1,4,1,,1009,00022,003,U,1,2
0100743,01,2,1,1,1,1,1,2,2,1,,1009,00022,003,U,1,2
0100743,05,3,1,1,1,1,1,1,3,1,,1009,00022,003,U,1,2
0100794,03,3,1,1,1,1,1,1,1,1,,1178,00023,004,U,1,3
0100794,04,2,1,1,2,2,2,2,2,1,,1178,00023,004,U,1,3
0100794,01,2,1,1,1,1,1,2,3,1,,1178,00023,004,U,1,3
0100794,02,3,1,1,1,1,1,1,5,1,,1178,00023,004,U,1,3
0100794,05,2,1,1,1,1,1,2,4,1,,1178,00023,004,U,1,3
0100798,03,3,1,1,1,1,2,2,1,1,,422,00024,005,U,1,4
0100798,01,3,1,1,1,1,1,1,4,1,,422,00024,005,U,1,4
0100798,05,3,1,1,1,1,1,1,5,1,,422,00024,005,U,1,4
0100798,02,3,1,1,1,1,1,1,5,1,,422,00024,005,U,1,4
0100927,02,3,1,1,1,1,1,2,3,1,,1209,00025,004,U,1,3
0100927,04,3,1,1,1,1,1,1,4,1,,1209,00025,004,U,1,3
0100957,05,3,1,1,1,1,1,2,4,1,,1275,00026,004,U,1,3
0100957,04,2,1,1,1,1,1,2,3,1,,1275,00026,004,U,1,3
0100957,01,3,1,1,1,1,1,1,6,1,,1275,00026,004,U,1,3
0100957,03,2,1,1,1,1,2,2,4,1,,1275,00026,004,U,1,3
0101067,05,2,1,1,1,1,1,2,4,1,,990,00027,004,U,1,3
0101067,01,3,1,1,1,1,1,2,5,1,,990,00027,004,U,1,3
0101067,04,3,1,1,1,1,1,1,3,1,,990,00027,004,U,1,3
0101175,05,3,1,1,1,1,1,1,4,1,,1131,00028,004,U,1,3
0101175,04,3,1,1,1,1,1,1,3,1,,1131,00028,004,U,1,3
